Name	Team	W	L	SV	G	GS	IP	K/9	BB/9	HR/9	BABIP	LOB%	GB%	HR/FB	vFA (pi)	ERA	xERA	FIP	xFIP	WAR	NameASCII	PlayerId	MLBAMID
Freddy Peralta	NYM	1	0	0	3	3	15	11.400000724792527	3.0000001907348754	1.2000000762939502	0.2702702702702703	0.65789474	0.513513513	0.222222222	94.06826636904762	4.800000305175801	2.7247153617073785	3.519142271677655	2.5590196591140373	0.24332496523857117	Freddy Peralta	18679	642547
Janson Junk	MIA	0	2	0	3	3	16.2	6.480000247192392	2.160000082397464	1.080000041198732	0.29411764705882354	0.65934066	0.46	0.1	94.52336077008928	4.320000164794928	2.474026190218825	3.9591422782897965	3.945563841397156	0.23534037172794342	Janson Junk	23301	676083
Jack Kochanowicz	LAA	2	0	0	3	3	16.2	6.480000247192392	5.9400002265930265	0	0.20408163265306123	0.66666667	0.551020408	0	96.40340322818396	3.240000123596196	6.008591897565652	3.659142266845704	4.896279564939015	0.2299412339925766	Jack Kochanowicz	27688	686799
Michael King	SDP	1	1	0	3	3	16.2	8.100000309	4.320000164794928	0.540000021	0.2558139534883721	0.71428571	0.395348837	0.055555555	93.81437174479167	3.240000123596196	4.661358519	3.7191422691345224	4.330921699734858	0.2213878631591797	Michael King	19853	650633
Shane Baz	BAL	0	1	0	3	3	16	7.312500435858991	2.8125001676380736	0.5625000335276147	0.38	0.7421875	0.333333333	0.052631578	96.97201891447368	4.5000002682209175	3.965267398	3.6191422760486622	4.336955324504559	0.20554174482822418	Shane Baz	22264	669358
Clay Holmes	NYM	2	1	0	3	3	18	6	4	0.5	0.21568627450980393	0.91397849	0.615384615	0.09090909	94.82640075683594	1.5	3.565203265880933	3.8413644684685604	3.906671746240722	0.18860410153865814	Clay Holmes	13649	605280
Grant Holmes	ATL	1	1	0	3	3	17.2	7.132075728365186	4.075471844780107	1.0188679611950267	0.19148936170212766	0.86419753	0.326530612	0.086956521	94.79693603515625	2.5471699029875667	3.2064299041364186	4.364425309929148	4.570448711842644	0.18568888306617737	Grant Holmes	16944	656550
Chase Burns	CIN	1	1	0	3	3	16.1	9.918368119093302	4.4081636084859115	1.653061353182217	0.24390243902439024	0.89285714	0.409090909	0.157894736	98.61980987762237	3.306122706364434	4.830873858442934	4.772203599428555	3.8835305562078366	0.1847880333662033	Chase Burns	35333	695505
Zac Gallen	ARI	1	1	0	3	3	15	5.4	3.6	0.6	0.2765957446808511	0.75268817	0.458333333	0.055555555	94.13351004464286	3	5.5735477525560695	3.9858089129130048	4.665563809871674	0.1640051007270813	Zac Gallen	19291	668678
Cade Cavalli	WSN	0	0	0	3	3	14.1	6.9069773569308754	5.651163292034353	0	0.3	0.73913043	0.5	0	96.36100260416667	2.5116281297930456	4.216301623698184	3.886584174794213	5.055391274246973	0.1488787978887558	Cade Cavalli	27473	676917
Kyle Harrison	MIL	1	1	0	3	3	14.2	9.204545853551771	2.454545560947139	1.2272727804735695	0.24324324324324326	0.84507042	0.297297297	0.142857142	94.86471264982876	3.0681819511839237	3.3248029029886528	4.073687742170225	3.5310685078957413	0.146623433	Kyle Harrison	27758	690986
Will Warren	NYY	1	0	0	3	3	14.2	8.590910021923891	3.068182150687104	1.2272728602748415	0.2857142857142857	0.86419753	0.545454545	0.142857142	93.97900839	3.068182150687104	3.550291848895983	4.005505978667057	3.4628867091097035	0.14017972350120544	Will Warren	30182	701542
Ranger Suarez	BOS	1	1	0	3	3	14.1	6.906976897372243	3.1395349533510197	1.255813981340408	0.3333333333333333	0.71428571	0.454545454	0.181818181	91.7359848	5.023255925361632	8.480800449603857	4.444723670994547	3.619760699202703	0.12839317321777344	Ranger Suarez	17277	624133
Erick Fedde	CHW	0	3	0	3	2	16	6.75	1.6875	1.125	0.26666666666666666	0.74074074	0.425531914	0.1	92.91889953613281	3.375	3.114552548	4.181642246246338	4.167498041689396	0.12202456081286073	Erick Fedde	17425	607200
Gavin Williams	CLE	1	1	0	3	3	17.2	12.735849514937833	7.132075728365186	1.0188679611950267	0.11538461538461539	0.92592593	0.5	0.181818181	96.90624405	2.0377359223900533	3.588472670712132	4.138010207441365	3.4687006173109873	0.11919113248586655	Gavin Williams	30122	668909
Jack Leiter	TEX	1	1	0	3	3	14.2	12.88636419497248	3.681818341420709	1.8409091707103544	0.3333333333333333	0.75949367	0.416666666	0.1875	97.41655685240964	4.909091121894278	2.345148035524982	4.141869563307646	2.8886163850036164	0.11206098645925522	Jack Leiter	30146	683004
Nick Martinez	TBR	0	0	0	3	3	16.2	5.9400002265930265	2.160000082397464	1.620000061798098	0.1875	1	0.431372549	0.130434782	93.42778862847223	2.160000082397464	2.9254690824064444	4.8591423126220725	4.297527089367288	0.070739016	Nick Martinez	12730	607259
Foster Griffin	WSN	2	0	0	3	3	15.1	7.043478406895314	3.521739203447657	1.1739130678158858	0.21428571428571427	0.98684211	0.363636363	0.117647058	92.00566406	1.7608696017238286	6.308632836034695	4.619142277344414	4.352249151247624	0.058704160153865814	Foster Griffin	16432	656492
George Kirby	SEA	1	2	0	3	3	20	7.2	2.25	1.35	0.20408163265306123	0.74324324	0.596153846	0.1875	96.82271358944953	3.6	2.9474257078259685	4.369142246246338	3.4500899553298954	0.051827256	George Kirby	25436	669923
Mike Burrows	HOU	1	2	0	3	3	16	8.437500503	3.375000201165688	1.687500100582844	0.3958333333333333	0.76612903	0.372549019	0.136363636	94.76799665178571	5.625000335276147	4.357902538899303	4.994142358005053	4.328583693322029	0.037188593	Mike Burrows	24728	681347
Simeon Woods Richardson	MIN	0	2	0	3	3	15.2	4.595744867355057	2.2978724336775285	1.7234043252581464	0.26	0.75949367	0.320754716	0.115384615	92.70880518922019	4.595744867355057	4.571348860387017	5.353184890099491	5.002491293647403	-0.003633701	Simeon Woods Richardson	24494	680573
Jake Irvin	WSN	1	1	0	3	3	14	10.285714285714286	5.142857142857143	1.9285714285714286	0.2702702702702703	0.5952381	0.225	0.136363636	93.10480110012755	7.071428571428571	5.397547053	5.3334279605320525	4.572789531946182	-0.011546924	Jake Irvin	21504	663623
Tomoyuki Sugano	COL	1	0	0	3	3	16.2	6.480000247192392	1.620000061798098	2.160000082397464	0.13636363636363635	1	0.479166666	0.181818181	92.79455172631049	2.160000082397464	4.927179117213318	5.339142330932621	3.9202059967923644	-0.012975956	Tomoyuki Sugano	35321	608372
Nathan Eovaldi	TEX	1	2	0	3	3	14.2	11.65909141449891	3.0681819511839237	2.454545560947139	0.4186046511627907	0.65420561	0.468085106	0.222222222	94.74524818978658	7.977273073078202	4.041485984762255	5.096415059231534	3.1325279368979584	-0.034081556	Nathan Eovaldi	9132	543135
Kyle Leahy	STL	1	2	0	3	3	14	4.5	5.142857142857143	0.6428571428571429	0.3191489361702128	0.72033898	0.5	0.071428571	94.04636885480183	5.142857142857143	7.207548303203538	4.976285103389195	5.336398311172212	-0.034880199	Kyle Leahy	24763	681517
Reynaldo López	ATL	1	0	0	3	3	15.2	7.468085409451968	2.872340542096911	1.7234043252581464	0.17073170731707318	1	0.386363636	0.136363636	94.25074251033058	1.1489362168387642	3.6579100036499512	5.0978657308019875	4.418146256396274	-0.038574319	Reynaldo Lopez	16400	625643
Chris Sale	ATL	2	1	0	3	3	16	9	2.8125	1.6875	0.16666666666666666	0.78125	0.461538461	0.2	95.00040769114078	3.9375	3.9166582426138215	5.056642246246338	3.8272840928286316	-0.053598411	Chris Sale	10603	519242
Slade Cecconi	CLE	0	2	0	3	3	15.2	8.042553517871351	2.872340542096911	1.7234043252581464	0.2558139534883721	0.61797753	0.5	0.2	93.34001545	5.744681084193822	6.057253210906468	5.353184890099491	4.097670129274932	-0.075765014	Slade Cecconi	27500	677944
Brandon Pfaadt	ARI	0	1	0	3	3	16.2	5.9400002265930265	3.240000123596196	1.620000061798098	0.2692307692307692	0.60606061	0.527272727	0.142857142	93.05796983506944	5.9400002265930265	2.942323009972995	5.399142333221439	4.6828849477049905	-0.112800181	Brandon Pfaadt	27782	694297
Brandon Williamson	CIN	1	1	0	3	3	15.1	5.869565704143831	5.282609133729448	1.7608697112431495	0.20454545454545456	0.73033708	0.29787234	0.130434782	92.74441571302818	5.282609133729448	7.7553375842281085	6.314794685	5.704343328207562	-0.139215097	Brandon Williamson	25463	682227
Emmet Sheehan	LAD	2	0	0	3	3	15	8.400000534057652	3.6000002288818505	2.4000001525879004	0.2926829268292683	0.67073171	0.466666666	0.307692307	94.73075882	6.600000419616726	6.193376567504447	5.919142424265555	3.5693356263760494	-0.144418254	Emmet Sheehan	29839	686218
Ryne Nelson	ARI	1	1	0	3	3	15	7.200000916	3.600000458	2.400000305	0.14285714285714285	0.38461538	0.304347826	0.16	96.29341848273026	4.200000534057685	5.608852530591595	6.1858093028598855	4.866950195749022	-0.154508665	Ryne Nelson	26253	669194
Matthew Liberatore	STL	0	0	0	3	3	16	5.625	2.8125	2.25	0.28846153846153844	0.97826087	0.381818181	0.173913043	94.34248955305233	3.375	5.4951995218512675	6.056642246246338	4.659126411005855	-0.192986071	Matthew Liberatore	22294	669461
Eury Pérez	MIA	1	1	0	3	3	16	10.125	5.0625	2.25	0.23684210526315788	0.70652174	0.365853658	0.19047619	98.12654311784351	5.0625	4.979716729307846	6.181642246246338	4.623040831461549	-0.199952513	Eury Perez	27768	691587
Taijuan Walker	PHI	1	2	0	3	3	14.2	7.363636682841418	4.295454731657493	2.454545560947139	0.3541666666666667	0.66964286	0.5	0.266666666	91.81383260091145	7.363636682841418	7.329856968621546	6.460051481979944	4.232569763510987	-0.208168611	Taijuan Walker	11836	592836
